brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
103378,for_sale,105000,3,2,0.12,1962661,Adjuntas,Puerto Rico,601,920,
52707,for_sale,80000,4,2,0.08,1902874,Adjuntas,Puerto Rico,601,1527,
103379,for_sale,67000,2,1,0.15,1404990,Juana Diaz,Puerto Rico,795,748,
31239,for_sale,145000,4,2,0.1,1947675,Ponce,Puerto Rico,731,1800,
34632,for_sale,65000,6,2,0.05,331151,Mayaguez,Puerto Rico,680,,
103378,for_sale,179000,4,3,0.46,1850806,San Sebastian,Puerto Rico,612,2520,
1205,for_sale,50000,3,1,0.2,1298094,Ciales,Puerto Rico,639,2040,
50739,for_sale,71600,3,2,0.08,1048466,Ponce,Puerto Rico,731,1050,
81909,for_sale,100000,2,1,0.09,734904,Ponce,Puerto Rico,730,1092,
65672,for_sale,300000,5,3,7.46,1946226,Las Marias,Puerto Rico,670,5403,
52707,for_sale,89000,3,2,13.39,1902814,Isabela,Puerto Rico,662,1106,
52707,for_sale,150000,3,2,0.08,1773902,Juana Diaz,Puerto Rico,795,1045,
46019,for_sale,155000,3,2,0.1,1946165,Lares,Puerto Rico,669,4161,
52707,for_sale,79000,5,2,0.12,1761024,Utuado,Puerto Rico,641,1620,
88441,for_sale,649000,5,5,0.74,1879215,Ponce,Puerto Rico,731,2677,
50739,for_sale,120000,3,2,0.08,17854,Yauco,Puerto Rico,698,1100,
51202,for_sale,235000,4,4,0.22,13687,Mayaguez,Puerto Rico,680,3450,
12876,for_sale,105000,3,2,0.08,1868721,Ponce,Puerto Rico,728,1500,
