Startup Name,Industry,Funding Rounds,Investment Amount (USD),Valuation (USD),Number of Investors,Country,Year Founded,Growth Rate (%)
Startup_1,Blockchain,8,1335165853.1,6621448041.824468,50,Germany,2012,77.1
Startup_2,SaaS,2,2781498219.93,8363214103.88975,36,UK,2006,105.52
Startup_3,EdTech,10,3309031930.22,15482697353.099028,39,Singapore,2016,190.47
Startup_4,Fintech,5,4050196269.12,12682527892.17541,44,France,2021,9.44
Startup_5,EdTech,9,1645080294.64,6887965942.865217,48,India,2011,192.0
Startup_6,EdTech,3,3939088574.84,11462969525.297262,38,Singapore,2003,26.28
Startup_7,HealthTech,8,1349245127.85,2490393546.173328,24,India,2017,104.98
Startup_8,Blockchain,7,4128951425.92,16303568856.291613,24,India,2006,89.13
Startup_9,Blockchain,3,3950045010.91,9733266248.997322,5,Brazil,2007,57.99
Startup_10,Fintech,10,4865378632.8,18692791832.252808,31,USA,2000,31.16
Startup_11,HealthTech,7,2797198504.14,13826645051.84505,17,UK,2019,33.69
Startup_12,E-commerce,2,1726597437.89,7608269223.785214,19,Canada,2021,199.0
Startup_13,HealthTech,5,1818562344.1,4835268340.067286,14,China,2000,105.73
Startup_14,E-commerce,7,1095961480.41,3965453491.279286,44,Australia,2016,31.95
Startup_15,Blockchain,3,4195481545.25,13491122379.383991,24,India,2009,99.34
Startup_16,EdTech,6,3098366688.83,7743384208.769788,32,UK,2008,142.01
Startup_17,SaaS,2,2545210318.74,11381431784.364101,46,Australia,2010,164.5
Startup_18,Biotech,4,2695914069.44,11492050840.25098,29,Brazil,2013,25.17
Startup_19,E-commerce,9,3434765565.55,10200304017.1882,28,Singapore,2021,93.38
